788697	66805	35167
870514	2090592	33222
870514	1944501	33185
2174968	302158	18062
2226698	1475878	15942
788697	903454	14230
788697	2271198	13660
1411195	493482	11142
1174675	2197557	11110
2427796	66805	9375
1116190	1496141	9274
2174968	1532270	8925
2115443	787118	8919
1380912	1736019	8628
2226898	333671	8175
2226898	29781	8133
2174968	2280635	8056
2226898	1115537	8006
592844	1211300	7979
592844	822846	7942
2174968	841238	7836
440424	935486	7816
1380912	1411195	7809
1661635	2271198	7490
2279292	927512	7490
1380912	922224	6950
788697	2090592	6709
2242417	985554	6620
2115443	2365731	6589
460348	601605	6493
788697	2197202	6433
1411195	92504	6433
2155586	204858	6423
2242417	1512092	6364
993765	1259872	6361
879577	128091	6315
788697	686747	6256
384704	1532270	6251
2155586	851534	6244
2242417	801795	6206
733091	2271198	6195
440424	1423891	6189
1116190	49193	6136
1507955	675878	5894
1729931	1665197	5822
788697	502427	5661
2070130	1512092	5604
1661635	1708376	5581
788697	2109372	5532
1507955	839964	5525
1380912	92504	5518
440424	1063980	5494
1125915	1990679	5468
2015040	935486	5430
849341	879577	5421
755289	2483614	5393
450028	1112648	5294
2515607	121729	5290
1729931	2062932	5256
788697	1309773	5247
2115562	787118	5227
788697	606649	5205
755289	1989228	5189
788697	1708376	5160
1702723	1496141	5155
1411195	1168734	5124
378352	601605	5111
1125915	1411195	5104
713430	109552	5064
2434548	322835	5042
2088716	787118	5008
2115663	787118	4987
2242417	813244	4966
2155586	2274509	4964
879577	2195032	4824
110906	641183	4809
41403	831220	4789
2155586	2113511	4752
849341	2434548	4638
446414	2498656	4620
788697	2480386	4604
2427796	903454	4594
1411195	1536726	4564
1380912	2181659	4561
354956	66805	4494
2242417	1653391	4493
41403	2239321	4487
80329	748402	4466
1116190	556002	4463
2174968	1529572	4447
279236	826920	4369
993765	299029	4354
440424	128091	4353
993765	1407818	4326
1411195	2538522	4313
588459	1389958	4271
2115805	787118	4270
1432846	300492	4246
991456	1868204	4227
2174968	1072160	4221
1702723	49193	4218
1372232	369486	4198
1411195	1259872	4184
788697	2484971	4157
228747	1885741	4135
1956216	2109372	4134
2469222	204344	4131
2469222	1779519	4131
2469222	2307266	4131
2469222	2323002	4131
80329	1414724	4092
1411195	930845	4058
1507955	1054625	4055
724788	935486	4041
384704	364937	4033
1752007	745181	4017
1411195	2075751	3989
1829465	1044467	3893
1380912	2165717	3887
1829465	461090	3877
2174968	139416	3846
788697	909267	3844
1380912	1658996	3828
862276	407698	3813
879577	192226	3808
2515607	121869	3774
788697	397999	3756
849341	1392552	3756
1116190	1309773	3746
830322	1990343	3733
1176315	888997	3730
788697	1091991	3727
1176315	403298	3721
752410	916463	3717
849341	830322	3711
788697	749547	3708
580974	66805	3703
1445641	2108170	3700
2434548	276779	3680
849341	692549	3667
2155586	199203	3627
683594	369486	3603
1174675	398039	3593
1109909	470765	3580
849341	1772088	3576
2174968	1599298	3570
2174968	2470110	3566
2115542	787118	3556
1423172	187337	3554
2174968	1378589	3548
1294496	2471757	3542
2515607	768926	3528
2174968	1627724	3519
1627976	989727	3505
879577	363572	3485
1591348	2483614	3480
2419823	276831	3475
1116190	66805	3465
1396488	601605	3458
1432846	1348466	3446
833620	2087159	3434
1109909	173324	3432
1239215	2139719	3431
2434548	2312531	3390
752410	866489	3386
2115562	2365731	3357
547681	1430899	3348
41403	1024006	3346
1817044	639670	3334
1109909	1709146	3311
1372232	1102425	3305
1239215	872506	3276
384704	1321861	3270
522494	496653	3243
1176315	503167	3219
2174968	420791	3217
384704	1314032	3210
110906	327529	3201
833620	206180	3181
1380912	341956	3174
1956216	66805	3154
993765	493482	3150
522494	2494656	3132
897723	1540282	3131
1380912	493482	3118
384704	1994136	3116
440424	94302	3115
49030	123154	3084
1380912	459169	3080
2427796	2271198	3078
2174968	1436960	3070
2242417	637302	3049
1585167	1540282	3047
897723	315524	3039
1109909	1366351	3037
1432846	1168734	3026
879577	1625342	3020
110906	1865917	3012
1627976	1215232	3011
2174968	2449802	3009
2128209	34382	2998
110906	1039681	2997
2174968	1689183	2996
788697	1588099	2975
1501125	369486	2960
588459	873320	2957
2021311	71726	2955
1116190	2301411	2953
137442	686747	2949
683594	1102425	2949
849341	1430899	2948
788697	1053540	2945
2155586	932105	2944
788697	2301411	2940
1111422	1540282	2937
460348	2271198	2928
788697	531212	2904
596186	2393357	2901
1445641	2250065	2895
1176315	1187958	2894
2115542	2365731	2894
849341	268916	2890
1591348	240106	2879
1116190	1713456	2861
2275624	1630444	2860
1817044	1257911	2857
1109909	1436243	2848
1176315	258214	2845
2174968	1376699	2839
1111422	138690	2836
862276	1599611	2811
849341	360301	2801
2070130	985554	2780
110906	239241	2779
755289	2006414	2775
517087	2451643	2771
547681	360301	2746
732822	2271198	2743
2515607	1731481	2739
378352	989818	2737
1176315	849341	2716
1109909	63271	2713
1380912	2189373	2709
137442	986325	2703
2115663	2365731	2698
1411195	2308130	2690
788697	732208	2688
580814	66805	2682
2515607	747169	2674
2043879	1741165	2674
123154	2455784	2674
1174675	686747	2668
2267063	1151983	2667
1174675	2022763	2646
2088716	2365731	2646
1638320	1024006	2643
378275	601605	2630
1627976	1339834	2622
2434548	297346	2613
1421696	2451390	2596
2155586	2239321	2591
440424	787118	2589
279236	377404	2587
2155593	2274509	2587
580768	66805	2579
1956216	1060998	2578
2151217	381584	2572
879577	1685086	2567
941347	2494656	2560
1109909	194310	2548
354956	903454	2547
2174968	914786	2545
2434548	1609864	2542
580839	66805	2541
128786	1906254	2539
460348	143877	2537
941347	196876	2529
843463	2471757	2506
2419683	2471757	2502
148306	369486	2496
755289	2156333	2495
1411195	299029	2491
1174675	986325	2480
2434548	2152291	2474
2242417	124850	2470
460348	156266	2469
525820	276779	2469
821950	193511	2465
1174675	1986108	2461
1411195	2165717	2458
755289	458535	2457
1109909	988402	2455
384704	261161	2454
522494	1354063	2449
2515607	1138633	2444
110906	2058103	2438
2104520	508211	2438
599582	2250065	2436
755289	2007158	2433
580868	66805	2433
1956216	1588099	2431
1411195	377631	2429
2483187	787118	2428
1566419	1064677	2427
41403	2155586	2422
849341	372960	2401
2174968	1420227	2394
1116190	708388	2393
2015040	2529552	2387
41403	2533240	2386
1174675	586157	2382
440424	1137398	2375
41403	542432	2374
1131326	2005911	2369
879577	1726072	2358
110906	571181	2357
2242417	586157	2354
802120	1990343	2352
879577	1684328	2347
2155586	2459244	2339
1585167	1714472	2326
1109909	1941028	2320
1785064	930845	2320
110906	510627	2318
1380912	1977234	2310
1380912	1264177	2303
2515607	1822245	2301
849341	210199	2301
2070130	637302	2298
1432846	2538522	2298
1150685	2520126	2291
2021311	470765	2289
1424159	187625	2281
460348	586157	2280
879577	943816	2277
1411195	2181659	2271
1956216	601605	2270
1729931	273313	2269
1281302	2109372	2269
788697	2367491	2268
1109909	849341	2266
1702723	1713456	2266
1703334	927211	2260
1432846	1771811	2256
123154	2455659	2255
41403	142682	2247
2092975	436206	2247
2174968	1526997	2246
1576877	1064677	2243
1109909	360924	2230
1031643	376536	2217
2155586	1030562	2212
2187049	299434	2212
788697	770444	2211
2481469	1152519	2209
580974	903454	2207
49030	1737037	2206
2174968	1570068	2200
599582	1804863	2200
279236	1152519	2192
1393919	2274812	2190
1638320	306327	2190
49030	1724504	2187
1109909	2281801	2185
897723	1647782	2185
1600944	1990343	2182
2043879	2471757	2181
588459	1692094	2180
788697	1281216	2177
1508219	504731	2172
849341	1673692	2171
522494	1949549	2171
1916141	1399072	2166
1705693	641183	2166
1421696	187337	2165
384591	1625342	2164
1817029	1398614	2157
440424	578848	2154
2210380	1028141	2154
2434548	1772088	2146
2021311	686747	2145
1729931	497562	2139
2174968	2510321	2136
110906	929851	2136
2212867	80329	2131
169944	1948133	2128
1638320	831220	2126
41403	1039872	2122
41403	1206296	2121
1517085	109552	2121
1380912	1994684	2109
583430	818944	2109
941347	278946	2103
999953	204515	2090
1923411	2123865	2089
41403	309936	2080
2043879	1717741	2080
41403	932105	2074
788697	1857343	2065
1507955	2318231	2055
993765	2538522	2044
879577	1363785	2039
41403	2092936	2034
1399319	2270277	2033
788697	1800765	2032
1176315	2324136	2032
1302971	1386658	2029
1398235	122093	2028
1302971	1386190	2026
1501125	1102425	2021
701796	335998	2018
2043879	686747	2015
2092975	1810617	2010
290861	1938613	2007
450028	245511	2005
2127784	1741165	2001
1398235	152113	1998
522494	504731	1998
2210380	2007982	1997
1702723	2116433	1994
279236	935595	1993
1109909	1599611	1991
2128209	220383	1991
2419683	698762	1990
849341	1949549	1986
95809	1938613	1983
49030	2163358	1980
2427796	686747	1979
999953	1970526	1974
588459	2168101	1974
2101834	2324136	1974
225204	412104	1974
788697	986325	1972
1817029	1256958	1971
1729931	1172470	1963
41403	1884431	1952
1380912	271763	1951
1131674	1689474	1942
1705693	327529	1939
1380912	1654073	1936
41403	2274509	1929
384704	2017105	1929
1411195	1407818	1928
